p,q,nobs,parameters,llf,aic,bic,mu_pct,sigma_pct,ar,ma,converged,message,starts,gradient_max,min_ar_root,min_ma_root,status,delta_bic,selected,scale
0,0,132840,2,268306.7097904363,-536609.4195808726,-536589.8257795216,-0.00012212821313124076,0.032106010655863444,[],[],True,closed_form,1,0.0,inf,inf,eligible,0.0,True,1min
0,1,132840,3,268311.1415813428,-536616.2831626856,-536586.8924606591,-0.00012202590187203464,0.03210493755222733,[],[-0.008212357383201927],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,8.881784197054e-08,inf,121.76771581391027,eligible,2.933318862458691,False,1min
1,0,132840,3,268311.11797220993,-536616.2359444199,-536586.8452423934,-0.00012202733981614562,0.03210494327931972,[-0.008168810298794361],[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0.0,122.41684693640033,inf,eligible,2.9805371281690896,False,1min
0,2,132840,4,268311.5867552004,-536615.1735104008,-536575.9859076989,-0.00012199104273074684,0.03210482957241509,[],"[-0.00817298722254598, -0.00258951183214708]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,8.881784197054e-08,inf,18.136457631170906,eligible,13.839871822739951,False,1min
1,1,132840,4,268311.3664817553,-536614.7329635106,-536575.5453608086,-0.0001220019174309692,0.03210488305248103,[0.15155643203511315],[-0.15985564891086923],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,8.881784201676231e-08,6.598202310333594,6.2556438062290205,eligible,14.280418712995015,False,1min
2,0,132840,4,268311.60982240876,-536615.2196448175,-536576.0320421156,-0.00012199107158265513,0.03210482396474593,"[-0.008190617495804055, -0.0027329237503848315]",[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0.0,19.12873464136304,inf,eligible,13.793737406027503,False,1min
0,3,132840,5,268312.33139901893,-536614.6627980379,-536565.6782946604,-0.00012207472278452826,0.03210464860715153,[],"[-0.008211468524879442, -0.0025908446785998687, 0.0033374892616127336]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,4.440892098527e-08,inf,6.560436305114789,eligible,24.14748486119788,False,1min
1,2,132840,5,268311.73463127384,-536613.4692625477,-536564.4847591702,-0.0001219993997380691,0.03210479368863223,[-0.21268778332621066],"[0.2045108596587343, -0.004658142803821349]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,1.7763568394107998e-06,4.701727501039617,4.440581667368406,eligible,25.341020351392217,False,1min
2,1,132840,5,268311.7559283926,-536613.5118567852,-536564.5273534077,-0.00012199987384287678,0.03210478850870827,"[-0.21517756111069364, -0.004736034505251765]",[0.2069858807315452],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,1.3322676302514348e-07,5.255167034170171,4.831247409077973,eligible,25.298426113906316,False,1min
3,0,132840,5,268312.32766225154,-536614.6553245031,-536565.6708211256,-0.00012207333718879535,0.03210464950143279,"[-0.008183623331540608, -0.0027061917844928224, 0.0033062617079756486]",[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,4.440892098527e-08,6.51557005237392,inf,eligible,24.154958395985886,False,1min
0,4,132840,6,268313.4909722394,-536614.9819444788,-536556.2005404258,-0.00012218580661051994,0.03210436621802734,[],"[-0.00816286755649806, -0.002683452284644207, 0.0033361627215662574, 0.004219917233440113]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,4.440892098527e-08,inf,3.766772919615146,eligible,33.62523909576703,False,1min
1,3,132840,6,268312.900484203,-536613.800968406,-536555.019564353,-0.00012219291749995445,0.03210451010283276,[0.47311317944894293],"[-0.48131662071871995, 0.0012670493135238463, 0.005162708249786426]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,4.8849813083797e-07,2.113659148461573,2.2055131260273058,eligible,34.80621516855899,False,1min
2,2,132840,6,268318.9105647387,-536625.8211294774,-536567.0397254244,-0.0001221280625504593,0.03210301869152831,"[-0.9880642786331337, -0.8683851752353499]","[0.9843290829468723, 0.86158516787595]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,1.421085464379588e-06,1.0731089070764428,1.077335306974961,eligible,22.78605409723241,False,1min
3,1,132840,6,268312.89412601956,-536613.7882520391,-536555.0068479861,-0.00012219003640201285,0.032104511660878375,"[0.4653462146484217, 0.0011761128431265087, 0.005190929803445085]",[-0.4735371692223763],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,1.7763568394108e-07,2.043233215177004,2.1117666468339955,eligible,34.81893153546844,False,1min
4,0,132840,6,268313.5013571558,-536615.0027143116,-536556.2213102586,-0.00012218430015401496,0.03210436371493672,"[-0.008195963982107549, -0.0026995715862650946, 0.003340050656450534, 0.004232381706093732]",[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,1.3322676295581e-07,3.8041487218868992,inf,eligible,33.604469262994826,False,1min
0,5,132840,7,268314.5476978329,-536615.0953956658,-536546.5170909375,-0.00012205130814722592,0.03210410843797206,[],"[-0.008105834424577418, -0.002730354205307799, 0.0033262700029207644, 0.004228840394282266, -0.004065799541697601]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,8.881784197054e-08,inf,2.8750751165006743,eligible,43.30868858413305,False,1min
1,4,132840,7,268317.10734125366,-536620.2146825073,-536551.636377779,-0.00012217113830510868,0.03210348356952755,[-0.6959535583939743],"[0.6878486709654257, -0.008355963317139494, 0.0014091722825774018, 0.008500190995772965]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,4.4408920985269996e-07,1.4368774869226362,1.479829115890146,eligible,38.18940174265299,False,1min
2,3,132840,7,268330.5578540105,-536647.115708021,-536578.5374032926,-0.00012236530414819053,0.032100040593769814,"[1.5297660132001742, -0.9461802749147181]","[-1.5381879647585497, 0.9571623082141821, -0.0032116198563310713]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,2.35367282650971e-06,1.0280472009688995,1.024908447460382,eligible,11.288376229000278,False,1min
3,2,132840,7,268330.5566432472,-536647.1132864944,-536578.534981766,-0.00012236578277344707,0.032100040889188663,"[1.5263715507109212, -0.9410025741981112, -0.0031800810987308624]","[-1.5347858166797301, 0.9519519676758582]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,7.194245243293831e-06,1.0280668256700878,1.0249259333086653,eligible,11.290797755587846,False,1min
4,1,132840,7,268317.0932493649,-536620.1864987297,-536551.6081940014,-0.00012217067666943428,0.03210348710140372,"[-0.7006964200786415, -0.008361473883519082, 0.0014776426784214782, 0.008451697204523606]",[0.6925442136092976],True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,3.5527136788216e-07,1.4091847566738644,1.443951130265533,eligible,38.21758552023675,False,1min
5,0,132840,7,268314.5803348954,-536615.1606697908,-536546.5823650624,-0.00012205148211954393,0.032104100494121185,"[-0.00817945318632143, -0.002686515555508974, 0.003331202816900176, 0.00419892656561585, -0.004065160948330252]",[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,4.440892098527e-08,2.8705655046761596,inf,eligible,43.24341445916798,False,1min
1,5,132840,8,268317.8829727386,-536619.7659454772,-536541.3907400733,-0.00012207152514309472,0.03210329367260483,[-0.5953992070438531],"[0.5873042428969222, -0.007508635207791978, 0.001696178868582016, 0.006250838894845483, -0.004092170414558556]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,6.2172489379378e-07,1.6795454010847326,2.1166351196013733,eligible,48.435039448319,False,1min
2,4,132840,8,268323.8799983538,-536631.7599967076,-536553.3847913037,-0.0001221056784170198,0.03210180714108065,"[-1.1622682507509121, -0.8526738236399404]","[1.1541970612879386, 0.8406444414922682, -0.005127405158193591, 0.004955189292399012]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,1.065814098284691e-06,1.0829503216948753,1.083891566053545,eligible,36.44098821794614,False,1min
3,3,132840,8,268330.55785416823,-536645.1157083365,-536566.7405029326,-0.00012236530754268938,0.03210004059509741,"[1.5297665102579157, -0.9461808251387239, 3.6096402705859416e-07]","[-1.5381878721678939, 0.9571623878366219, -0.00321167142182282]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,2.1760371282653047e-06,1.0280472191006615,1.024908449093674,eligible,23.0852765890304,False,1min
4,2,132840,8,268330.61048212304,-536645.2209642461,-536566.8457588422,-0.0001223496444941495,0.032100030151498316,"[1.5273564100330839, -0.9418061792180608, -0.0017841407181766467, -0.0009479807189842564]","[-1.5357763473638246, 0.9519577226374187]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,2.2204460627450096e-07,1.028051412071157,1.0249228352623327,eligible,22.980020679417066,False,1min
5,1,132840,8,268317.87925470213,-536619.7585094043,-536541.3833040004,-0.0001220713610821304,0.032103294627803126,"[-0.6003001962211966, -0.007529150885566442, 0.0017262756311883598, 0.006156361076374877, -0.004100066372012408]",[0.5921705304051676],True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,2.6645352591162e-07,1.5779596975440882,1.6887027446566656,eligible,48.44247552123852,False,1min
2,5,132840,9,268324.1958215777,-536630.3916431554,-536542.219537076,-0.00012204958926322769,0.03210172942858057,"[-1.132475754050796, -0.8377522731432288]","[1.1244156463106194, 0.8260003078028856, -0.006434956984180387, 0.0023074123130581723, -0.002589222098120381]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,1.3322676228558637e-06,1.0925521916116212,1.0947406149787193,eligible,47.606242445646785,False,1min
3,4,132840,9,268330.5822892368,-536643.1645784735,-536554.9924723941,-0.00012236495237693388,0.03210003671406771,"[0.5411277707169361, 0.5660860175461268, -0.9345208423419696]","[-0.549546789624036, -0.5635195107552619, 0.9423356296064612, -0.0032458787393090803]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,2.6645352605028696e-06,1.0117982228826148,1.0116979696278647,eligible,34.83330712746829,False,1min
4,3,132840,9,268330.61069062614,-536643.2213812523,-536555.0492751729,-0.00012234724474870622,0.03210002695430984,"[1.5203870537108353, -0.9313693796041921, -0.008729443742317605, -0.000979885939622472]","[-1.5288066250807555, 0.9414499004187374, 0.007007783115604705]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,8.437695038431037e-07,1.0275957784860934,1.0244972019574945,eligible,34.77650434873067,False,1min
5,2,132840,9,268330.8022936002,-536643.6045872004,-536555.432481121,-0.0001223922496467894,0.03209997526765647,"[1.5267611039155435, -0.9444691291792184, -0.0003293105960377866, -0.0035954274001851402, 0.0018485261650598426]","[-1.53518138175259, 0.9546210709815823]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,3.108624487843013e-07,1.026469507329599,1.0234920931425933,eligible,34.39329840056598,False,1min
3,5,132840,10,268325.35283528315,-536630.7056705663,-536532.7366638114,-0.00012205239881506835,0.03210144965455796,"[-1.7835316607222784, -1.5966427147546924, -0.5841905365616084]","[1.7754735044665801, 1.5796588921008874, 0.5692137037309836, -0.002407948222697592, -0.0010023031213035774]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,2.3092638796168306e-06,1.0911563636591646,1.0952733175082323,eligible,57.089115710230544,False,1min
4,4,132840,10,268330.58228930173,-536641.1645786035,-536543.1955718485,-0.00012236495205620058,0.03210003671253491,"[0.5411276417331999, 0.5660859543741419, -0.934520816766704, -4.614167257283813e-08]","[-0.5495469412078429, -0.5635195907093478, 0.9423356569712766, -0.0032459268027917477]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,1.06581410364648e-06,1.0117982254772835,1.011697967578701,eligible,46.63020767306443,False,1min
5,3,132840,10,268330.7997751403,-536641.5995502806,-536543.6305435257,-0.00012239232968948725,0.032099978203691426,"[1.5043222719793816, -0.9100516671674239, -0.021244085008914348, -0.0035916077771828724, 0.0017970740501388653]","[-1.512743000179533, 0.9200149006907928, 0.021136702814615296]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,2.2204460627450096e-07,1.0268174110894739,1.0238138405448172,eligible,46.19523599592503,False,1min
4,5,132840,11,268340.5130654454,-536659.0261308908,-536551.2602234604,-0.0001223507374135537,0.032097593951899685,"[0.3714228437649016, -0.06240778675553859, 0.27168242341888166, -0.8502511764993448]","[-0.37972604527757925, 0.058611415635643996, -0.2636565563748943, 0.8546551250348638, -0.005476806934722016]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,2.7089441664735896e-06,1.0266373827562039,1.0236837642916683,eligible,38.56555606122129,False,1min
5,4,132840,11,268340.5364442156,-536659.0728884313,-536551.3069810008,-0.00012234991252774386,0.03209758810393996,"[0.3643123587471352, -0.05842220565692634, 0.26965435210975564, -0.8480419752421955, -0.005568530989895335]","[-0.3726706853103775, 0.05459523771412912, -0.26166455161971636, 0.8525485271638724]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,1.5543122352933405e-06,1.0265576862701868,1.0236116841495295,eligible,38.51879852078855,False,1min
